task id session trial condition trialxcondition perceived_liking perceived_intensity
hedonic 02 one 1 neutral 1 50.000000 12.711864
hedonic 02 one 2 neutral 2 55.932203 32.203390
hedonic 02 one 3 neutral 3 52.542373 19.491525
hedonic 02 one 4 neutral 4 44.915254 80.508475
hedonic 02 one 5 neutral 5 38.983051 68.644068
hedonic 02 one 6 neutral 6 50.847458 44.067797
hedonic 02 one 7 neutral 7 37.288136 61.864407
hedonic 02 one 8 neutral 8 49.152542 58.474576
hedonic 02 one 9 neutral 9 51.694915 61.016949
hedonic 02 one 10 neutral 10 50.000000 28.813559
hedonic 02 one 11 neutral 11 45.762712 16.949153
hedonic 02 one 12 neutral 12 50.847458 12.711864
hedonic 02 one 13 neutral 13 38.135593 54.237288
hedonic 02 one 14 neutral 14 48.305085 41.525424
hedonic 02 one 15 neutral 15 50.000000 55.084746
hedonic 02 one 16 neutral 16 37.288136 66.949153
hedonic 02 one 17 neutral 17 34.745763 63.559322
hedonic 02 one 18 neutral 18 26.271186 72.033898
hedonic 02 one 19 chocolate 1 56.779661 67.796610
hedonic 02 one 20 chocolate 2 72.881356 79.661017
hedonic 02 one 21 chocolate 3 65.254237 55.084746
hedonic 02 one 22 neutral 19 45.762712 83.898305
hedonic 02 one 23 neutral 20 41.525424 83.050847
hedonic 02 one 24 neutral 21 56.779661 77.118644
hedonic 02 one 25 neutral 22 62.711864 78.813559
hedonic 02 one 26 neutral 23 57.627119 71.186441
hedonic 02 one 27 neutral 24 60.169492 56.779661
hedonic 02 one 28 empty 1 50.000000 12.711864
hedonic 02 one 29 empty 2 50.000000 12.711864
hedonic 02 one 30 empty 3 50.000000 12.711864
hedonic 02 one 31 neutral 25 53.389831 74.576271
hedonic 02 one 32 neutral 26 44.067797 82.203390
hedonic 02 one 33 neutral 27 38.135593 69.491525
hedonic 02 one 34 neutral 28 47.457627 70.338983
hedonic 02 one 35 neutral 29 55.932203 54.237288
hedonic 02 one 36 neutral 30 61.864407 55.084746
hedonic 02 one 37 neutral 31 35.593220 64.406780
hedonic 02 one 38 neutral 32 52.542373 61.016949
hedonic 02 one 39 neutral 33 53.389831 48.305085
hedonic 03 one 1 chocolate 1 50.000000 67.796610
hedonic 03 one 2 chocolate 2 60.169492 55.932203
hedonic 03 one 3 chocolate 3 41.525424 75.423729
hedonic 03 one 4 neutral 1 27.118644 74.576271
hedonic 03 one 5 neutral 2 32.203390 76.271186
hedonic 03 one 6 neutral 3 24.576271 83.898305
hedonic 03 one 7 neutral 4 16.949153 86.440678
hedonic 03 one 8 neutral 5 22.033898 77.118644
hedonic 03 one 9 neutral 6 16.101695 84.745763
hedonic 03 one 10 neutral 7 50.000000 61.864407
hedonic 03 one 11 neutral 8 55.084746 55.932203
hedonic 03 one 12 neutral 9 55.932203 61.864407
hedonic 03 one 13 neutral 10 38.983051 71.186441
hedonic 03 one 14 neutral 11 37.288136 76.271186
hedonic 03 one 15 neutral 12 38.135593 61.016949
hedonic 03 one 16 empty 1 50.000000 33.050847
hedonic 03 one 17 empty 2 45.762712 24.576271
hedonic 03 one 18 empty 3 50.000000 26.271186
hedonic 03 one 19 neutral 13 16.101695 80.508475
hedonic 03 one 20 neutral 14 16.101695 85.593220
hedonic 03 one 21 neutral 15 15.254237 80.508475
hedonic 03 one 22 neutral 16 15.254237 86.440678
hedonic 03 one 23 neutral 17 16.949153 81.355932
hedonic 03 one 24 neutral 18 14.406780 85.593220
hedonic 03 one 25 neutral 19 66.949153 68.644068
hedonic 03 one 26 neutral 20 62.711864 77.966102
hedonic 03 one 27 neutral 21 54.237288 60.169492
hedonic 03 one 28 neutral 22 59.322034 72.033898
hedonic 03 one 29 neutral 23 86.440678 70.338983
hedonic 03 one 30 neutral 24 84.745763 68.644068
hedonic 03 one 31 neutral 25 52.542373 85.593220
hedonic 03 one 32 neutral 26 46.610169 85.593220
hedonic 03 one 33 neutral 27 41.525424 87.288136
hedonic 03 one 34 neutral 28 50.847458 82.203390
hedonic 03 one 35 neutral 29 50.000000 50.000000
hedonic 03 one 36 neutral 30 50.000000 19.491525
hedonic 03 one 37 neutral 31 55.084746 71.186441
hedonic 03 one 38 neutral 32 61.016949 72.033898
hedonic 03 one 39 neutral 33 51.694915 23.728814
hedonic 04 one 1 neutral 1 41.525424 76.271186
hedonic 04 one 2 neutral 2 44.915254 69.491525
hedonic 04 one 3 neutral 3 44.067797 61.016949
hedonic 04 one 4 neutral 4 83.050847 68.644068
hedonic 04 one 5 neutral 5 72.881356 63.559322
hedonic 04 one 6 neutral 6 72.881356 60.169492
hedonic 04 one 7 neutral 7 16.949153 82.203390
hedonic 04 one 8 neutral 8 19.491525 75.423729
hedonic 04 one 9 neutral 9 21.186441 76.271186
hedonic 04 one 10 neutral 10 31.355932 69.491525
hedonic 04 one 11 neutral 11 30.508475 62.711864
hedonic 04 one 12 neutral 12 30.508475 64.406780
hedonic 04 one 13 neutral 13 40.677966 62.711864
hedonic 04 one 14 neutral 14 44.067797 58.474576
hedonic 04 one 15 neutral 15 38.983051 59.322034
hedonic 04 one 16 neutral 16 72.033898 61.864407
hedonic 04 one 17 neutral 17 59.322034 52.542373
hedonic 04 one 18 neutral 18 55.084746 54.237288
hedonic 04 one 19 empty 1 51.694915 53.389831
hedonic 04 one 20 empty 2 50.000000 18.644068
hedonic 04 one 21 empty 3 50.000000 16.949153
hedonic 04 one 22 neutral 19 46.610169 18.644068
hedonic 04 one 23 neutral 20 33.898305 16.101695
hedonic 04 one 24 neutral 21 43.220339 17.796610
hedonic 04 one 25 neutral 22 46.610169 17.796610
hedonic 04 one 26 neutral 23 41.525424 16.949153
hedonic 04 one 27 neutral 24 44.067797 16.101695
hedonic 04 one 28 neutral 25 22.881356 63.559322
hedonic 04 one 29 neutral 26 23.728814 67.796610
hedonic 04 one 30 neutral 27 32.203390 66.101695
hedonic 04 one 31 neutral 28 53.389831 44.915254
hedonic 04 one 32 neutral 29 61.864407 56.779661
hedonic 04 one 33 neutral 30 64.406780 57.627119
hedonic 04 one 34 chocolate 1 72.033898 63.559322
