task id session trial rewarded_response n_grips
instrumental_learning 02 one 1 2 12.000000
instrumental_learning 02 one 2 2 18.000000
instrumental_learning 02 one 3 2 18.000000
instrumental_learning 02 one 4 2 14.000000
instrumental_learning 02 one 5 2 17.000000
instrumental_learning 02 one 6 2 14.000000
instrumental_learning 02 one 7 2 14.000000
instrumental_learning 02 one 8 2 17.000000
instrumental_learning 02 one 9 2 12.000000
instrumental_learning 02 one 10 2 16.000000
instrumental_learning 02 one 11 2 14.000000
instrumental_learning 02 one 12 2 15.000000
instrumental_learning 02 one 13 2 12.000000
instrumental_learning 02 one 14 2 11.000000
instrumental_learning 02 one 15 2 13.000000
instrumental_learning 02 one 16 2 14.000000
instrumental_learning 02 one 17 2 10.000000
instrumental_learning 02 one 18 2 14.000000
instrumental_learning 02 one 19 2 14.000000
instrumental_learning 02 one 20 2 13.000000
instrumental_learning 02 one 21 2 9.000000
instrumental_learning 02 one 22 2 13.000000
instrumental_learning 02 one 23 2 12.000000
instrumental_learning 02 one 24 2 12.000000
instrumental_learning 03 one 1 1 6.000000
instrumental_learning 03 one 2 0 3.000000
instrumental_learning 03 one 3 0 0.000000
instrumental_learning 03 one 4 0 1.000000
instrumental_learning 03 one 5 1 4.000000
instrumental_learning 03 one 6 2 10.000000
instrumental_learning 03 one 7 2 9.000000
instrumental_learning 03 one 8 1 8.000000
instrumental_learning 03 one 9 2 5.000000
instrumental_learning 03 one 10 0 7.000000
instrumental_learning 03 one 11 1 8.000000
instrumental_learning 03 one 12 2 9.000000
instrumental_learning 03 one 13 2 7.000000
instrumental_learning 03 one 14 1 10.000000
instrumental_learning 03 one 15 1 4.000000
instrumental_learning 03 one 16 2 9.000000
instrumental_learning 03 one 17 2 7.000000
instrumental_learning 03 one 18 2 7.000000
instrumental_learning 03 one 19 2 6.000000
instrumental_learning 03 one 20 0 5.000000
instrumental_learning 03 one 21 2 7.000000
instrumental_learning 03 one 22 2 5.000000
instrumental_learning 03 one 23 1 6.000000
instrumental_learning 03 one 24 2 9.000000
instrumental_learning 04 one 1 2 15.000000
instrumental_learning 04 one 2 2 19.000000
instrumental_learning 04 one 3 2 18.000000
instrumental_learning 04 one 4 2 17.000000
instrumental_learning 04 one 5 2 18.000000
instrumental_learning 04 one 6 2 16.000000
instrumental_learning 04 one 7 2 16.000000
instrumental_learning 04 one 8 2 15.000000
instrumental_learning 04 one 9 2 16.000000
instrumental_learning 04 one 10 2 13.000000
instrumental_learning 04 one 11 2 17.000000
instrumental_learning 04 one 12 2 17.000000
instrumental_learning 04 one 13 2 16.000000
instrumental_learning 04 one 14 2 16.000000
instrumental_learning 04 one 15 2 15.000000
instrumental_learning 04 one 16 2 16.000000
instrumental_learning 04 one 17 2 18.000000
instrumental_learning 04 one 18 2 19.000000
instrumental_learning 04 one 19 2 19.000000
instrumental_learning 04 one 20 2 17.000000
instrumental_learning 04 one 21 2 19.000000
instrumental_learning 04 one 22 2 18.000000
instrumental_learning 04 one 23 2 17.000000
instrumental_learning 04 one 24 2 18.000000
instrumental_learning 05 one 1 2 9.000000
instrumental_learning 05 one 2 2 10.000000
