task id session trial condition trialxcondition RT accuracy liking_ratings rounds
pavlovian_learning 02 one 1 CSplus 1 0.290965 1 66.949153 1
pavlovian_learning 02 one 2 CSplus 2 0.303185 1 66.949153 2
pavlovian_learning 02 one 3 CSplus 3 0.289071 1 66.949153 3
pavlovian_learning 02 one 4 CSminus 1 0.433248 1 39.830508 1
pavlovian_learning 02 one 5 CSminus 2 0.350719 1 39.830508 2
pavlovian_learning 02 one 6 CSminus 3 0.339750 1 39.830508 3
pavlovian_learning 02 one 7 CSplus 4 0.296795 1 66.949153 1
pavlovian_learning 02 one 8 CSplus 5 0.314527 1 66.949153 2
pavlovian_learning 02 one 9 CSplus 6 0.306894 1 66.949153 3
pavlovian_learning 02 one 10 CSminus 4 0.440148 1 39.830508 1
pavlovian_learning 02 one 11 CSminus 5 0.295543 1 39.830508 2
pavlovian_learning 02 one 12 CSminus 6 0.271971 1 39.830508 3
pavlovian_learning 02 one 13 CSplus 7 0.423075 1 66.949153 1
pavlovian_learning 02 one 14 CSplus 8 0.295602 1 66.949153 2
pavlovian_learning 02 one 15 CSplus 9 0.456851 1 66.949153 3
pavlovian_learning 02 one 16 CSminus 7 0.419718 1 39.830508 1
pavlovian_learning 02 one 17 CSminus 8 0.366163 1 39.830508 2
pavlovian_learning 02 one 18 CSminus 9 0.341572 1 39.830508 3
pavlovian_learning 02 one 19 CSplus 10 0.329664 1 66.949153 1
pavlovian_learning 02 one 20 CSplus 11 0.303398 1 66.949153 2
pavlovian_learning 02 one 21 CSplus 12 0.291741 1 66.949153 3
pavlovian_learning 02 one 22 CSminus 10 0.340423 1 39.830508 1
pavlovian_learning 02 one 23 CSminus 11 0.363076 1 39.830508 2
pavlovian_learning 02 one 24 CSminus 12 0.313541 1 39.830508 3
pavlovian_learning 02 one 25 CSplus 13 0.282128 1 66.949153 1
pavlovian_learning 02 one 26 CSplus 14 0.399600 1 66.949153 2
pavlovian_learning 02 one 27 CSplus 15 0.260011 1 66.949153 3
pavlovian_learning 02 one 28 CSminus 13 0.408977 1 39.830508 1
pavlovian_learning 02 one 29 CSminus 14 0.343154 1 39.830508 2
pavlovian_learning 02 one 30 CSminus 15 0.355988 1 39.830508 3
pavlovian_learning 02 one 31 CSplus 16 0.335952 1 66.949153 1
pavlovian_learning 02 one 32 CSplus 17 0.307938 1 66.949153 2
pavlovian_learning 02 one 33 CSplus 18 0.325335 1 66.949153 3
pavlovian_learning 02 one 34 CSminus 16 0.313467 1 39.830508 1
pavlovian_learning 02 one 35 CSminus 17 0.296479 1 39.830508 2
pavlovian_learning 02 one 36 CSminus 18 0.338802 1 39.830508 3
pavlovian_learning 02 one 37 CSplus 19 0.324171 1 66.949153 1
pavlovian_learning 02 one 38 CSplus 20 0.248407 1 66.949153 2
pavlovian_learning 02 one 39 CSplus 21 0.329572 1 66.949153 3
pavlovian_learning 02 one 40 CSminus 19 0.693809 1 39.830508 1
pavlovian_learning 02 one 41 CSminus 20 0.349617 1 39.830508 2
pavlovian_learning 02 one 42 CSminus 21 0.586241 1 39.830508 3
pavlovian_learning 02 one 43 CSplus 22 0.415900 1 66.949153 1
pavlovian_learning 02 one 44 CSplus 23 0.341398 1 66.949153 2
pavlovian_learning 02 one 45 CSplus 24 0.275508 1 66.949153 3
pavlovian_learning 02 one 46 CSminus 22 0.338726 1 39.830508 1
pavlovian_learning 02 one 47 CSminus 23 0.286136 1 39.830508 2
pavlovian_learning 02 one 48 CSminus 24 0.313223 1 39.830508 3
pavlovian_learning 02 one 49 CSplus 25 0.346463 1 66.949153 1
pavlovian_learning 02 one 50 CSplus 26 0.288567 1 66.949153 2
pavlovian_learning 02 one 51 CSplus 27 0.311848 1 66.949153 3
pavlovian_learning 02 one 52 CSminus 25 0.325539 1 39.830508 1
pavlovian_learning 02 one 53 CSminus 26 0.311117 1 39.830508 2
pavlovian_learning 02 one 54 CSminus 27 0.363764 1 39.830508 3
pavlovian_learning 02 one 55 CSplus 28 0.447565 1 66.949153 1
pavlovian_learning 02 one 56 CSplus 29 0.287497 1 66.949153 2
pavlovian_learning 02 one 57 CSplus 30 0.300532 1 66.949153 3
pavlovian_learning 02 one 58 CSminus 28 0.305060 1 39.830508 1
pavlovian_learning 02 one 59 CSminus 29 0.344212 1 39.830508 2
pavlovian_learning 02 one 60 CSminus 30 0.299662 1 39.830508 3
pavlovian_learning 02 one 61 CSplus 31 0.280913 1 66.949153 1
pavlovian_learning 02 one 62 CSplus 32 0.274459 1 66.949153 2
pavlovian_learning 02 one 63 CSplus 33 0.279018 1 66.949153 3
pavlovian_learning 02 one 64 CSminus 31 0.451013 1 39.830508 1
pavlovian_learning 02 one 65 CSminus 32 0.337155 1 39.830508 2
pavlovian_learning 02 one 66 CSminus 33 0.279377 1 39.830508 3
pavlovian_learning 02 one 67 CSplus 34 0.343662 1 66.949153 1
pavlovian_learning 02 one 68 CSplus 35 0.313438 1 66.949153 2
pavlovian_learning 02 one 69 CSplus 36 0.486597 1 66.949153 3
pavlovian_learning 02 one 70 CSminus 34 0.447884 1 39.830508 1
pavlovian_learning 02 one 71 CSminus 35 0.306481 1 39.830508 2
pavlovian_learning 02 one 72 CSminus 36 0.420617 1 39.830508 3
pavlovian_learning 02 one 73 CSplus 37 0.305241 1 66.949153 1
pavlovian_learning 02 one 74 CSplus 38 0.313453 1 66.949153 2
pavlovian_learning 02 one 75 CSplus 39 0.314960 1 66.949153 3
pavlovian_learning 02 one 76 CSminus 37 0.435975 1 39.830508 1
pavlovian_learning 02 one 77 CSminus 38 0.295123 1 39.830508 2
pavlovian_learning 02 one 78 CSminus 39 0.279521 1 39.830508 3
pavlovian_learning 02 one 79 CSplus 40 0.277052 1 66.949153 1
pavlovian_learning 02 one 80 CSplus 41 0.306747 1 66.949153 2
pavlovian_learning 02 one 81 CSplus 42 0.304602 1 66.949153 3
