task id session trial condition trialxcondition n_grips reward
Reminder 01 two 1 None 1 10 2
Reminder 01 two 2 None 2 12 2
Reminder 01 two 3 None 3 5 2
Partial_Extinction 01 two 4 None 4 13 1
Partial_Extinction 01 two 5 None 5 13 1
Partial_Extinction 01 two 6 None 6 14 1
Partial_Extinction 01 two 7 None 7 16 1
Partial_Extinction 01 two 8 None 8 15 1
Partial_Extinction 01 two 9 None 9 10 1
PIT 01 two 10 CSminus 1 13 0
PIT 01 two 11 CSminus 2 10 0
PIT 01 two 12 CSminus 3 14 0
PIT 01 two 13 Baseline 1 12 0
PIT 01 two 14 Baseline 2 14 0
PIT 01 two 15 Baseline 3 8 0
PIT 01 two 16 CSplus 1 16 0
PIT 01 two 17 CSplus 2 14 0
PIT 01 two 18 CSplus 3 20 0
PIT 01 two 19 CSminus 4 17 0
PIT 01 two 20 CSminus 5 16 0
PIT 01 two 21 CSminus 6 19 0
PIT 01 two 22 Baseline 4 16 0
PIT 01 two 23 Baseline 5 18 0
PIT 01 two 24 Baseline 6 18 0
PIT 01 two 25 CSplus 4 10 0
PIT 01 two 26 CSplus 5 17 0
PIT 01 two 27 CSplus 6 19 0
PIT 01 two 28 CSminus 7 13 0
PIT 01 two 29 CSminus 8 13 0
PIT 01 two 30 CSminus 9 13 0
PIT 01 two 31 Baseline 7 12 0
PIT 01 two 32 Baseline 8 15 0
PIT 01 two 33 Baseline 9 15 0
PIT 01 two 34 CSplus 7 18 0
PIT 01 two 35 CSplus 8 16 0
PIT 01 two 36 CSplus 9 14 0
PIT 01 two 37 CSminus 10 13 0
PIT 01 two 38 CSminus 11 15 0
PIT 01 two 39 CSminus 12 13 0
PIT 01 two 40 CSplus 10 14 0
PIT 01 two 41 CSplus 11 15 0
PIT 01 two 42 CSplus 12 16 0
PIT 01 two 43 Baseline 10 16 0
PIT 01 two 44 Baseline 11 14 0
PIT 01 two 45 Baseline 12 15 0
PIT 01 two 46 CSplus 13 16 0
PIT 01 two 47 CSplus 14 16 0
PIT 01 two 48 CSplus 15 17 0
PIT 01 two 49 CSminus 13 17 0
PIT 01 two 50 CSminus 14 15 0
PIT 01 two 51 CSminus 15 14 0
PIT 01 two 52 Baseline 13 14 0
PIT 01 two 53 Baseline 14 15 0
PIT 01 two 54 Baseline 15 18 0
Reminder 02 two 1 None 1 12 2
Reminder 02 two 2 None 2 16 2
Reminder 02 two 3 None 3 16 2
Partial_Extinction 02 two 4 None 4 17 1
Partial_Extinction 02 two 5 None 5 18 1
Partial_Extinction 02 two 6 None 6 18 1
Partial_Extinction 02 two 7 None 7 19 1
Partial_Extinction 02 two 8 None 8 17 1
Partial_Extinction 02 two 9 None 9 19 1
PIT 02 two 10 Baseline 1 16 0
PIT 02 two 11 Baseline 2 11 0
PIT 02 two 12 Baseline 3 10 0
PIT 02 two 13 CSminus 1 14 0
PIT 02 two 14 CSminus 2 12 0
PIT 02 two 15 CSminus 3 11 0
PIT 02 two 16 CSplus 1 17 0
PIT 02 two 17 CSplus 2 13 0
PIT 02 two 18 CSplus 3 13 0
