Subject	Word	POA	Voicing	VOT
s1	pat	bilabial	voiceless	0.0202
s1	god	velar	voiced	0.02
s1	tuck	alveolar	voiceless	0.0415
s1	den	alveolar	voiced	0.0124
s1	bill	bilabial	voiced	0.0133
s1	cuss	velar	voiceless	0.0585
s1	cuss	velar	voiceless	0.0675
s1	cuss	velar	voiceless	0.05
s1	cuss	velar	voiceless	0.0552
s1	gus	velar	voiced	0.028
s1	gus	velar	voiced	0.0071
s1	gus	velar	voiced	0.0229
s1	gus	velar	voiced	0.0231
s1	dill	alveolar	voiced	0.0511
s1	pounce	bilabial	voiceless	0.0251
s1	touch	alveolar	voiceless	0.031
s1	touch	alveolar	voiceless	0.0221
s1	touch	alveolar	voiceless	0.0383
s1	touch	alveolar	voiceless	0.0451
s1	dutch	alveolar	voiced	0.0133
s1	dutch	alveolar	voiced	0.0147
s1	dutch	alveolar	voiced	0.0237
s1	cash	velar	voiceless	0.0387
s1	come	velar	voiceless	0.0582
s1	dick	alveolar	voiced	0.0093
s1	pelt	bilabial	voiceless	0.0439
s1	pelt	bilabial	voiceless	0.0207
s1	came	velar	voiceless	0.0604
s1	came	velar	voiceless	0.0351
s1	came	velar	voiceless	0.039
s1	game	velar	voiced	0.0098
s1	game	velar	voiced	0.0224
s1	puck	bilabial	voiceless	0.0277
s1	puck	bilabial	voiceless	0.0356
s1	buck	bilabial	voiced	0.0177
s1	buck	bilabial	voiced	0.0214
s1	puck	bilabial	voiceless	0.0333
s1	pin	bilabial	voiceless	0.0333
s1	cob	velar	voiceless	0.0399
s1	cob	velar	voiceless	0.0573
s1	pack	bilabial	voiceless	0.0354
s1	pack	bilabial	voiceless	0.0257
s1	tick	alveolar	voiceless	0.0494
s1	dick	alveolar	voiced	0.012
s1	dick	alveolar	voiced	0.0249
s1	bin	bilabial	voiced	0.0303
s1	ton	alveolar	voiceless	0.0507
s1	cull	velar	voiceless	0.0661
s1	putt	bilabial	voiceless	0.0255
s1	tech	alveolar	voiceless	0.0522
s1	tech	alveolar	voiceless	0.0312
s1	deck	alveolar	voiced	0.0104
s1	deck	alveolar	voiced	0.0094
s1	pest	bilabial	voiceless	0.0321
s1	cod	velar	voiceless	0.0735
s1	tuck	alveolar	voiceless	0.0279
s1	cuss	velar	voiceless	0.0675
s1	patch	bilabial	voiceless	0.0276
s1	batch	bilabial	voiced	0.0099
s1	pat	bilabial	voiceless	0.0467
s1	best	bilabial	voiced	0.028
s1	kale	velar	voiceless	0.0826
s1	pang	bilabial	voiceless	0.0533
s1	puck	bilabial	voiceless	0.0258
s1	buck	bilabial	voiced	0.0035
s1	pelt	bilabial	voiceless	0.0257
s1	cash	velar	voiceless	0.0364
s1	path	bilabial	voiceless	0.0185
s1	ton	alveolar	voiceless	0.0555
s1	pelt	bilabial	voiceless	0.0114
