Subject	Condition	VOT	Pair	Consonant
S1	Competitor-Present	0.067006	kP10	k
S1	No-Competitor	0.049435	kP10	k
S1	No-Competitor	0.055127333	kP11	k
S1	Competitor-Present	0.065794333	kP11	k
S1	Competitor-Absent	0.067938667	kP1	k
S1	Competitor-Absent	0.060500333	kP2	k
S1	Competitor-Present	0.055566667	kP12	k
S1	No-Competitor	0.071911	kP1	k
S1	No-Competitor	0.073527667	kP12	k
S1	Competitor-Present	0.094466667	kP9	k
S1	No-Competitor	0.094199333	kP9	k
S1	No-Competitor	0.0506105	kP2	k
S1	Competitor-Absent	0.064606	kP5	k
S1	No-Competitor	0.089118667	kP5	k
S1	No-Competitor	0.04676	kP6	k
S1	No-Competitor	0.077219	kP7	k
S1	Competitor-Present	0.070704	kP7	k
S1	No-Competitor	0.052756	kP8	k
S1	Competitor-Present	0.067414667	kP8	k
S1	Competitor-Absent	0.069677	kP6	k
S1	No-Competitor	0.06371	kP4	k
S1	Competitor-Absent	0.062708	kP3	k
S1	No-Competitor	0.082256333	kP3	k
S1	Competitor-Absent	0.076157333	kP4	k
S1	Competitor-Present	0.058681	pP6	p
S1	No-Competitor	0.039812	pP6	p
S1	Competitor-Present	0.066747333	pP2	p
S1	Competitor-Absent	0.048298667	pP8	p
S1	Competitor-Present	0.094017	pP1	p
S1	No-Competitor	0.05059	pP7	p
S1	Competitor-Absent	0.070613667	pP7	p
S1	No-Competitor	0.051329667	pP1	p
S1	No-Competitor	0.037446	pP8	p
S1	Competitor-Absent	0.047820333	pP9	p
S1	No-Competitor	0.056787667	pP9	p
S1	No-Competitor	0.047627667	pP10	p
S1	Competitor-Absent	0.085161	pP10	p
S1	No-Competitor	0.064980667	pP2	p
S1	No-Competitor	0.047534	pP12	p
S1	Competitor-Absent	0.048006667	pP12	p
S1	No-Competitor	0.049538333	pP11	p
S1	No-Competitor	0.080623333	pP3	p
S1	No-Competitor	0.060335667	pP4	p
S1	Competitor-Present	0.050378667	pP5	p
S1	Competitor-Present	0.080149667	pP4	p
S1	Competitor-Present	0.066335333	pP3	p
S1	No-Competitor	0.058054333	pP5	p
S1	Competitor-Absent	0.063161	pP11	p
S1	Competitor-Absent	0.070479333	tP1	t
S1	No-Competitor	0.085109333	tP2	t
S1	No-Competitor	0.060931667	tP11	t
S1	Competitor-Present	0.090808333	tP11	t
S1	Competitor-Absent	0.064682667	tP2	t
S1	No-Competitor	0.068826667	tP1	t
S1	Competitor-Absent	0.087703667	tP3	t
S1	No-Competitor	0.078005667	tP3	t
S1	Competitor-Absent	0.083018667	tP4	t
S1	No-Competitor	0.072319667	tP4	t
S1	Competitor-Absent	0.073297333	tP6	t
S1	No-Competitor	0.058756	tP6	t
S1	Competitor-Absent	0.057316333	tP5	t
S1	No-Competitor	0.067208	tP5	t
S1	No-Competitor	0.051200333	tP12	t
S1	Competitor-Present	0.083292667	tP12	t
S1	No-Competitor	0.063974333	tP9	t
S1	Competitor-Present	0.080493667	tP8	t
S1	No-Competitor	0.079719	tP8	t
S1	No-Competitor	0.100510333	tP7	t
S1	Competitor-Present	0.068552333	tP7	t
S1	Competitor-Present	0.067490333	tP9	t
S1	Competitor-Present	0.070764667	tP10	t
S1	No-Competitor	0.063642	tP10	t
S2	Competitor-Present	0.0681785	kP10	k
S2	No-Competitor	0.082923333	kP10	k
S2	No-Competitor	0.085258667	kP11	k
S2	Competitor-Present	0.074944333	kP11	k
S2	Competitor-Absent	0.068515	kP1	k
S2	Competitor-Absent	0.085401	kP2	k
S2	Competitor-Present	0.070470667	kP12	k
S2	No-Competitor	0.075108	kP1	k
S2	No-Competitor	0.064784	kP12	k
S2	Competitor-Present	0.097513	kP9	k
S2	No-Competitor	0.082569667	kP9	k
S2	No-Competitor	0.0821615	kP2	k
S2	Competitor-Absent	0.089954667	kP5	k
S2	No-Competitor	0.096007667	kP5	k
S2	No-Competitor	0.065405	kP6	k
S2	No-Competitor	0.081508	kP7	k
S2	Competitor-Present	0.083200333	kP7	k
S2	No-Competitor	0.054640333	kP8	k
S2	Competitor-Present	0.076910333	kP8	k
S2	Competitor-Absent	0.095844	kP6	k
S2	No-Competitor	0.0614685	kP4	k
S2	Competitor-Absent	0.081513	kP3	k
S2	No-Competitor	0.07693	kP3	k
S2	Competitor-Absent	0.073913333	kP4	k
S2	Competitor-Present	0.067468667	pP6	p
S2	No-Competitor	0.090235	pP6	p
S2	Competitor-Present	0.094718	pP2	p
S2	Competitor-Absent	0.075533	pP8	p
S2	Competitor-Present	0.081252667	pP1	p
S2	No-Competitor	0.072399	pP7	p
S2	Competitor-Absent	0.067671333	pP7	p
S2	No-Competitor	0.074800333	pP1	p
S2	No-Competitor	0.086374333	pP8	p
S2	Competitor-Absent	0.070890333	pP9	p
S2	No-Competitor	0.079905667	pP9	p
S2	No-Competitor	0.082865	pP10	p
S2	Competitor-Absent	0.074177	pP10	p
S2	No-Competitor	0.0827975	pP2	p
S2	No-Competitor	0.0919885	pP12	p
S2	Competitor-Absent	0.087928667	pP12	p
S2	No-Competitor	0.067143667	pP11	p
S2	No-Competitor	0.091937633	pP3	p
S2	No-Competitor	0.070147	pP4	p
S2	Competitor-Present	0.098261667	pP5	p
S2	Competitor-Present	0.0800255	pP4	p
S2	Competitor-Present	0.093288	pP3	p
S2	No-Competitor	0.070052667	pP5	p
S2	Competitor-Absent	0.080935667	pP11	p
S2	Competitor-Absent	0.083460667	tP1	t
S2	No-Competitor	0.074455	tP2	t
S2	No-Competitor	0.089212	tP11	t
S2	Competitor-Present	0.101162	tP11	t
S2	Competitor-Absent	0.087870667	tP2	t
S2	No-Competitor	0.091038333	tP1	t
S2	Competitor-Absent	0.101237667	tP3	t
S2	No-Competitor	0.091874667	tP3	t
S2	Competitor-Absent	0.097831	tP4	t
S2	No-Competitor	0.093501	tP4	t
S2	Competitor-Absent	0.075351	tP6	t
S2	No-Competitor	0.1049805	tP6	t
S2	Competitor-Absent	0.101955333	tP5	t
S2	No-Competitor	0.086946333	tP5	t
S2	No-Competitor	0.071748	tP12	t
S2	Competitor-Present	0.107693333	tP12	t
S2	No-Competitor	0.082193333	tP9	t
S2	Competitor-Present	0.10836	tP8	t
S2	No-Competitor	0.090440667	tP8	t
S2	No-Competitor	0.102452667	tP7	t
S2	Competitor-Present	0.084378333	tP7	t
S2	Competitor-Present	0.101829333	tP9	t
S2	Competitor-Present	0.108217333	tP10	t
S2	No-Competitor	0.090988	tP10	t
S3	Competitor-Present	0.071722667	kP10	k
S3	No-Competitor	0.070738333	kP10	k
S3	No-Competitor	0.054799667	kP11	k
S3	Competitor-Present	0.072806	kP11	k
S3	Competitor-Absent	0.067745333	kP1	k
S3	Competitor-Absent	0.072629333	kP2	k
S3	Competitor-Present	0.079099	kP12	k
S3	No-Competitor	0.067964333	kP1	k
S3	No-Competitor	0.080255	kP12	k
S3	Competitor-Present	0.099680667	kP9	k
S3	No-Competitor	0.080080333	kP9	k
S3	No-Competitor	0.072734	kP2	k
