Subject	Background	Probability	Style	Correct
1	Non-Native	Low	Plain	1
1	Non-Native	Low	Plain	1
1	Non-Native	Low	Plain	1
1	Non-Native	Low	Plain	1
1	Non-Native	Low	Plain	1
1	Non-Native	Low	Plain	1
1	Non-Native	Low	Plain	1
1	Non-Native	Low	Plain	1
1	Non-Native	Low	Plain	1
1	Non-Native	Low	Plain	1
1	Non-Native	Low	Plain	0
1	Non-Native	Low	Plain	0
1	Non-Native	Low	Plain	0
1	Non-Native	Low	Plain	0
1	Non-Native	Low	Plain	0
2	Non-Native	Low	Plain	1
2	Non-Native	Low	Plain	1
2	Non-Native	Low	Plain	1
2	Non-Native	Low	Plain	1
2	Non-Native	Low	Plain	1
2	Non-Native	Low	Plain	1
2	Non-Native	Low	Plain	1
2	Non-Native	Low	Plain	0
2	Non-Native	Low	Plain	0
2	Non-Native	Low	Plain	0
2	Non-Native	Low	Plain	0
2	Non-Native	Low	Plain	0
2	Non-Native	Low	Plain	0
2	Non-Native	Low	Plain	0
2	Non-Native	Low	Plain	0
3	Non-Native	Low	Plain	1
3	Non-Native	Low	Plain	1
3	Non-Native	Low	Plain	1
3	Non-Native	Low	Plain	1
3	Non-Native	Low	Plain	1
3	Non-Native	Low	Plain	1
3	Non-Native	Low	Plain	1
3	Non-Native	Low	Plain	0
3	Non-Native	Low	Plain	0
3	Non-Native	Low	Plain	0
3	Non-Native	Low	Plain	0
3	Non-Native	Low	Plain	0
3	Non-Native	Low	Plain	0
3	Non-Native	Low	Plain	0
3	Non-Native	Low	Plain	0
4	Non-Native	Low	Plain	1
4	Non-Native	Low	Plain	1
4	Non-Native	Low	Plain	1
4	Non-Native	Low	Plain	1
4	Non-Native	Low	Plain	1
4	Non-Native	Low	Plain	1
4	Non-Native	Low	Plain	1
4	Non-Native	Low	Plain	1
4	Non-Native	Low	Plain	0
4	Non-Native	Low	Plain	0
4	Non-Native	Low	Plain	0
4	Non-Native	Low	Plain	0
4	Non-Native	Low	Plain	0
4	Non-Native	Low	Plain	0
4	Non-Native	Low	Plain	0
5	Non-Native	Low	Plain	1
5	Non-Native	Low	Plain	1
5	Non-Native	Low	Plain	1
5	Non-Native	Low	Plain	1
5	Non-Native	Low	Plain	1
5	Non-Native	Low	Plain	1
5	Non-Native	Low	Plain	1
5	Non-Native	Low	Plain	1
5	Non-Native	Low	Plain	1
5	Non-Native	Low	Plain	0
5	Non-Native	Low	Plain	0
5	Non-Native	Low	Plain	0
5	Non-Native	Low	Plain	0
5	Non-Native	Low	Plain	0
5	Non-Native	Low	Plain	0
6	Non-Native	Low	Plain	1
6	Non-Native	Low	Plain	1
6	Non-Native	Low	Plain	1
6	Non-Native	Low	Plain	1
6	Non-Native	Low	Plain	1
6	Non-Native	Low	Plain	1
6	Non-Native	Low	Plain	1
6	Non-Native	Low	Plain	1
6	Non-Native	Low	Plain	1
6	Non-Native	Low	Plain	0
6	Non-Native	Low	Plain	0
6	Non-Native	Low	Plain	0
6	Non-Native	Low	Plain	0
6	Non-Native	Low	Plain	0
6	Non-Native	Low	Plain	0
7	Non-Native	Low	Plain	1
7	Non-Native	Low	Plain	1
7	Non-Native	Low	Plain	1
7	Non-Native	Low	Plain	1
7	Non-Native	Low	Plain	1
7	Non-Native	Low	Plain	1
7	Non-Native	Low	Plain	1
7	Non-Native	Low	Plain	0
7	Non-Native	Low	Plain	0
7	Non-Native	Low	Plain	0
7	Non-Native	Low	Plain	0
7	Non-Native	Low	Plain	0
7	Non-Native	Low	Plain	0
7	Non-Native	Low	Plain	0
7	Non-Native	Low	Plain	0
8	Non-Native	Low	Plain	1
8	Non-Native	Low	Plain	1
8	Non-Native	Low	Plain	1
8	Non-Native	Low	Plain	1
8	Non-Native	Low	Plain	1
8	Non-Native	Low	Plain	1
8	Non-Native	Low	Plain	1
8	Non-Native	Low	Plain	1
8	Non-Native	Low	Plain	1
8	Non-Native	Low	Plain	1
8	Non-Native	Low	Plain	0
8	Non-Native	Low	Plain	0
8	Non-Native	Low	Plain	0
8	Non-Native	Low	Plain	0
8	Non-Native	Low	Plain	0
9	Non-Native	Low	Plain	1
9	Non-Native	Low	Plain	1
9	Non-Native	Low	Plain	1
9	Non-Native	Low	Plain	1
9	Non-Native	Low	Plain	1
9	Non-Native	Low	Plain	1
9	Non-Native	Low	Plain	1
9	Non-Native	Low	Plain	1
9	Non-Native	Low	Plain	0
9	Non-Native	Low	Plain	0
9	Non-Native	Low	Plain	0
9	Non-Native	Low	Plain	0
9	Non-Native	Low	Plain	0
9	Non-Native	Low	Plain	0
9	Non-Native	Low	Plain	0
10	Non-Native	Low	Plain	1
10	Non-Native	Low	Plain	1
10	Non-Native	Low	Plain	1
10	Non-Native	Low	Plain	1
10	Non-Native	Low	Plain	1
10	Non-Native	Low	Plain	1
10	Non-Native	Low	Plain	1
10	Non-Native	Low	Plain	1
