,_id,summary_fg_n,fber,dummy_trs,gcor,fwhm_x,gsr_y,summary_fg_mean,_created,aor,summary_bg_p95,fwhm_avg,gsr_x,fd_perc,fwhm_z,fwhm_y,summary_bg_stdv,size_t,dvars_vstd,aqi,size_x,summary_fg_stdv,summary_bg_mean,summary_fg_k,efc,summary_bg_median,spacing_y,snr,fd_num,summary_fg_p95,_updated,summary_bg_p05,dvars_std,summary_fg_median,summary_bg_mad,tsnr,summary_fg_p05,spacing_tr,fd_mean,dvars_nstd,summary_bg_k,spacing_x,_etag,size_z,summary_fg_mad,summary_bg_n,spacing_z,size_y,bids_meta_SequenceName,bids_meta_MagneticFieldStrength,bids_meta_ManufacturersModelName,bids_meta_modality,bids_meta_run_id,bids_meta_task_id,bids_meta_TaskName,bids_meta_Manufacturer,bids_meta_FlipAngle,bids_meta_EchoTime,bids_meta_subject_id,bids_meta_RepetitionTime,provenance_md5sum,provenance_settings_fd_thres,provenance_settings_hmc_fsl,provenance_version,provenance_software,_links_self_title,_links_self_href,bids_meta_session_id,bids_meta_ConversionSoftware,bids_meta_EffectiveEchoSpacing,bids_meta_PhaseEncodingDirection,bids_meta_ScanningSequence,bids_meta_CogAtlasID,bids_meta_SliceEncodingDirection,bids_meta_ParallelReductionFactorInPlane,bids_meta_PulseSequenceType,bids_meta_TotalReadoutTime
33,59a5c56d265d2000079e887e,28503,112.14784240000002,0,0.0168888,2.248615619,0.040781915,560.1541137999999,"Tue, 29 Aug 2017 19:50:05 GMT",0.001108583,162.19667969999998,2.283311991,-0.014948274,15.0,1.946664353,2.654656,52.36758423,120,0.980620673,0.007806638,64,142.7358551,65.79681396,0.9064506640000001,0.633426616,48.71667099,3.28125,3.8728205410000003,18,798.40755,"Tue, 29 Aug 2017 19:50:05 GMT",45.69166946,1.135020852,552.8000488,2.9899199010000004,46.62504578,349.2808563,1.0,0.138251522,34.986765399999996,49.46044814,3.28125,6ed38a3fb80489b7f412e115831cb4afd1297336,28,131.432724,57675,4.289999962,64,2D EP,1.0,,bold,,olfactory,Olfactory,Siemens,90.0,0.05,6f6a4e56098cfd9af29e3ae549503b370211a4e94421457fe4cfd39a38a1fa08,2.5,2319589b0777b5f0271255e8e7041927,0.2,False,0.9.7,mriqc,bold,bold/59a5c56d265d2000079e887e,,,,,2D EP,,,,,
34,59a5c580265d2000079e8880,25581,150.5837555,0,0.0197517,2.343832381,0.031513147000000005,652.9609985000001,"Tue, 29 Aug 2017 19:50:24 GMT",0.003532083,106.29167179999999,2.380898311,-0.015178167,50.0,1.9298461709999999,2.8690163810000002,50.54291534,120,1.008125044,0.00846947,64,184.4007416,58.29146957,0.910094547,0.5824467010000001,47.90833664,3.28125,3.4362893339999996,60,971.1417236,"Tue, 29 Aug 2017 19:50:24 GMT",44.38333511,1.0944011999999999,633.666687,2.8787236210000002,40.39110947,397.2750244,1.0,0.223544806,30.05188442,157.7521375,3.28125,de8225af189038f70a482d0bc306b0d7a138d6d5,28,173.3038483,62161,4.289999962,64,2D EP,1.0,,bold,,olfactory,Olfactory,Siemens,90.0,0.05,f37f3f2b0dc57a86dee4ba6ff855283bb4d2f0dea1c5bd1b708853444c2ffcec,2.5,4e9e1a5299bade6857ab737f753818ed,0.2,False,0.9.7,mriqc,bold,bold/59a5c580265d2000079e8880,,,,,2D EP,,,,,
72,59a5c3e5265d2000079e887c,28913,138.8434143,0,0.032005700000000005,2.4376655240000003,0.04528733,662.2888793999999,"Tue, 29 Aug 2017 19:43:33 GMT",0.005173,145.84167480000002,2.481846979,-0.018794468,23.33333333,2.00084151,3.007033905,54.42538834,120,0.98435564,0.006865805,64,208.466629,63.77798843,0.556318958,0.60665127,49.60000229,3.28125,3.0375641,28,1045.873389,"Tue, 29 Aug 2017 19:43:33 GMT",45.62500381,1.0667552820000001,633.2416992000001,3.175239325,40.95137405,372.7316895,1.0,0.14777674,29.13803043,73.66762749,3.28125,de4215206c4f2a2a78da4daf73ff2f95fe6e2afa,28,191.39160159999997,57981,4.289999962,64,2D EP,1.0,,bold,,olfactory,Olfactory,Siemens,90.0,0.05,4b9a7f50c0bb198c6f5414c5a8459f5d216d34ab521ea94c060ea35cac66f900,2.5,9d240586331ffd048bc2d2e02d674b4b,0.2,False,0.9.7,mriqc,bold,bold/59a5c3e5265d2000079e887c,,,,,2D EP,,,,,
211,59a5c5e7265d2000079e8882,25543,141.5674438,0,0.08760830000000001,2.234694095,0.030280279,584.1531372000001,"Tue, 29 Aug 2017 19:52:07 GMT",0.000966917,78.62333679,2.287807895,-0.008212719,10.0,2.001904447,2.626825143,35.70844269,120,0.9952597009999999,0.005705998,64,130.98771670000002,53.13636398,1.36815804,0.597507633,46.08333588,3.28125,4.431881378,12,801.865033,"Tue, 29 Aug 2017 19:52:07 GMT",44.39167023,1.138000429,580.5333862000001,1.643217921,54.76750946,398.25169980000004,1.0,0.113462958,28.96712792,183.0104855,3.28125,7c80024b617da168980b1c0848cd23a97b04a1cc,28,120.12788390000001,62053,4.289999962,64,2D EP,1.0,,bold,,olfactory,Olfactory,Siemens,90.0,0.05,7931aa2a1bed855457d1ddf6bc06ab4406a9fba0579045a4d6ff78f9c07c440f,2.5,0ac92addc0da4765e1021b6cfce3c740,0.2,False,0.9.7,mriqc,bold,bold/59a5c5e7265d2000079e8882,,,,,2D EP,,,,,
265,59a5c562265d200008a1da96,26380,139.236145,0,0.0111412,2.2993889519999997,0.029516894,576.0702514999999,"Tue, 29 Aug 2017 19:49:54 GMT",0.036399417,63.347502899999995,2.349244052,-0.008464316999999999,49.16666667,2.041624727,2.7067184760000003,42.49811172,120,1.110967585,0.025419312000000003,64,139.8734131,51.63816833,1.029296234,0.596742228,45.75000381,3.28125,4.114833473,59,812.6271423,"Tue, 29 Aug 2017 19:49:54 GMT",43.50833511,1.21316847,575.5667114,1.816191196,29.14267921,378.52169039999995,1.0,0.44643674200000005,44.57973453,234.30860409999997,3.28125,8ec8838a4bcfa4ad4295d368a4b0fb22ea1ace62,28,129.5917664,60947,4.289999962,64,2D EP,1.0,,bold,,olfactory,Olfactory,Siemens,90.0,0.05,f1cfa5ebb149e8099d561aae57beed6c68f990f45a910ea9d7b460dbcc5350be,2.5,c1ae039b7294e92f4375cff87a6170c0,0.2,False,0.9.7,mriqc,bold,bold/59a5c562265d200008a1da96,,,,,2D EP,,,,,
290,59a5c558265d200008a1da95,23336,146.5712128,0,0.01188,2.467882667,0.017014017,645.9487305,"Tue, 29 Aug 2017 19:49:44 GMT",0.004754667,102.12500759999999,2.434988715,-0.013416225,43.33333333,1.954825192,2.8822582860000003,38.16391754,120,0.957502388,0.013787127,64,182.8044739,56.43022156,1.700140904,0.57207838,47.8583374,3.28125,3.430892089,52,963.6021271,"Tue, 29 Aug 2017 19:49:44 GMT",43.60000229,1.0041994509999999,627.1958618,3.076400757,33.64229965,383.04585269999995,1.0,0.21803521,29.5789533,141.0936898,3.28125,2ce2b5dcf13b17e0128fbc54a8aaa9b3a1ef1be0,28,156.6616211,64779,4.289999962,64,2D EP,1.0,,bold,,olfactory,Olfactory,Siemens,90.0,0.05,85d6385b945c0d602103db39b0b654b2af93b5127938e26a959c123f0789b948,2.5,22272feb45e96b8269f5538e48050eed,0.2,False,0.9.7,mriqc,bold,bold/59a5c558265d200008a1da95,,,,,2D EP,,,,,
291,59a5c5df265d200008a1da99,26196,139.9382019,0,0.0410031,2.3605028569999997,0.02643547,610.2254028,"Tue, 29 Aug 2017 19:51:59 GMT",0.00461575,100.4058399,2.40418869,-0.011173108000000001,76.66666667,2.088899785,2.7631634289999996,42.20714951,120,0.995346593,0.014969843,64,150.1680603,57.17728043,0.898199654,0.602304388,47.90833664,3.28125,4.033182059,92,857.9396057,"Tue, 29 Aug 2017 19:51:59 GMT",43.6083374,1.117208744,605.666687,3.261726141,35.73261642,383.1021042,1.0,0.334682515,37.59111828,118.8759247,3.28125,61abc2e2fa7dbd5021dffc264ad2970edd0dc41b,28,139.30900569999997,61424,4.289999962,64,2D EP,1.0,,bold,,olfactory,Olfactory,Siemens,90.0,0.05,6c94e35ccc352d4e9ef0b99562cff995a5741ce8de8ad11b568892934daee366,2.5,77c037ec524626cbb541450090fa8351,0.2,False,0.9.7,mriqc,bold,bold/59a5c5df265d200008a1da99,,,,,2D EP,,,,,
358,59a5c580265d200008a1da98,24637,150.4087524,0,0.0194996,2.3603352380000002,0.015839173,638.9251709,"Tue, 29 Aug 2017 19:50:24 GMT",0.0014429170000000002,89.57500458,2.293316656,-0.008236405,27.5,1.7776200619999998,2.7419946669999997,29.64438248,120,1.001860355,0.006586169,64,174.7859497,54.766921999999994,2.32735303,0.580484955,47.15000153,3.28125,3.5418318760000003,33,934.9300537,"Tue, 29 Aug 2017 19:50:24 GMT",45.45833588,1.164558913,619.0750122000001,1.7173469069999998,49.79733276,405.9816895,1.0,0.179560136,35.09651529,66.37686014,3.28125,c5b7fe93a00682f54502e6ac18652aea2f111c62,28,149.063324,62861,4.289999962,64,2D EP,1.0,,bold,,olfactory,Olfactory,Siemens,90.0,0.05,e5e53c784d5d49de1cabb6e904bf3380026aadcb9769775a268dd304dd9aa2df,2.5,e05435421e4bf86fef6977d3741fbdd7,0.2,False,0.9.7,mriqc,bold,bold/59a5c580265d200008a1da98,,,,,2D EP,,,,,
382,59a5c5d2265d2000079e8881,28068,144.876709,0,0.013056,2.482913524,0.033403616000000004,656.5884399,"Tue, 29 Aug 2017 19:51:46 GMT",0.00137925,94.39750214,2.425232496,-0.013549573,29.16666667,1.967958059,2.824825905,45.84010315,120,0.969860732,0.008194185,64,199.9950562,58.09529114,1.6033470890000001,0.5957307239999999,48.76667023,3.28125,3.163459345,35,1008.6179599999999,"Tue, 29 Aug 2017 19:51:46 GMT",46.45833588,1.1025282090000001,632.6875,2.298032284,43.2994194,371.60334930000005,1.0,0.184500655,34.83658388,167.7017291,3.28125,be8386590e948226d937b6b4e659254d625ad7e8,28,175.7872314,58607,4.289999962,64,2D EP,1.0,,bold,,olfactory,Olfactory,Siemens,90.0,0.05,a20a2b7bb0842d5cf8a0c06c626421fd51ec103925c1819a51271f2779afa730,2.5,b4afddfe0b73c78af3aabe2c0270f2b1,0.2,False,0.9.7,mriqc,bold,bold/59a5c5d2265d2000079e8881,,,,,2D EP,,,,,
414,59a5c57d265d2000079e887f,28266,138.4501343,0,0.0350826,2.9614689519999997,0.025028272,469.9591675,"Tue, 29 Aug 2017 19:50:21 GMT",0.007767667,49.21792068,3.0833244239999997,-0.013041303,85.83333333,2.767132892,3.5213714289999998,15.96862793,120,1.006932953,0.016163847,64,200.4841919,36.656482700000005,-0.282647413,0.564392284,33.28333664,3.28125,2.2447135190000003,103,834.1833496,"Tue, 29 Aug 2017 19:50:21 GMT",30.31666756,1.142059751,450.03753660000007,2.149774313,23.48430634,183.40209199999998,1.0,0.538390186,70.22201881,59.18133267,3.28125,620e460264b0cf2fcdb8ce2803f611a9437cfff1,28,212.79049680000003,59298,4.289999962,64,2D EP,1.0,,bold,,olfactory,Olfactory,Siemens,90.0,0.05,96da37e95d5cc34fe3bef6c89428df859b8a217630d0c664da1daf1539caacf5,2.5,73d8e7fbe5882f40ce3e3d7fb58e85e4,0.2,False,0.9.7,mriqc,bold,bold/59a5c57d265d2000079e887f,,,,,2D EP,,,,,
