task id session trial condition trialxcondition perceived_liking perceived_intensity EMG
hedonic 01 two 1 neutral 1 57.627119 70.338983 0.000089
hedonic 01 two 2 neutral 2 44.067797 66.949153 0.000075
hedonic 01 two 3 neutral 3 66.101695 70.338983 0.000109
hedonic 01 two 4 empty 1 67.796610 52.542373 0.000087
hedonic 01 two 5 empty 2 50.000000 12.711864 0.000080
hedonic 01 two 6 empty 3 50.000000 12.711864 0.000254
hedonic 01 two 7 chocolate 1 83.898305 68.644068 0.000080
hedonic 01 two 8 chocolate 2 80.508475 64.406780 0.000072
hedonic 01 two 9 chocolate 3 81.355932 55.932203 0.000078
hedonic 01 two 10 chocolate 4 77.118644 51.694915 0.000071
hedonic 01 two 11 chocolate 5 73.728814 50.000000 0.000078
hedonic 01 two 12 chocolate 6 72.033898 44.915254 0.000084
hedonic 01 two 13 empty 4 50.000000 42.372881 0.000084
hedonic 01 two 14 empty 5 50.000000 18.644068 0.000087
hedonic 01 two 15 empty 6 50.000000 16.101695 0.000083
hedonic 01 two 16 neutral 4 48.305085 80.508475 0.000067
hedonic 01 two 17 neutral 5 46.610169 77.966102 0.000065
hedonic 01 two 18 neutral 6 47.457627 59.322034 0.000072
hedonic 01 two 19 chocolate 7 81.355932 60.169492 0.000072
hedonic 01 two 20 chocolate 8 79.661017 50.000000 0.000081
hedonic 01 two 21 chocolate 9 73.728814 44.915254 0.000076
hedonic 01 two 22 neutral 7 36.440678 58.474576 0.000078
hedonic 01 two 23 neutral 8 45.762712 50.000000 0.000080
hedonic 01 two 24 neutral 9 44.067797 50.000000 0.000080
hedonic 01 two 25 empty 7 56.779661 19.491525 0.000098
hedonic 01 two 26 empty 8 50.000000 15.254237 0.000079
hedonic 01 two 27 empty 9 46.610169 15.254237 0.000077
hedonic 01 two 28 empty 10 50.000000 12.711864 0.000072
hedonic 01 two 29 empty 11 50.000000 13.559322 0.000075
hedonic 01 two 30 empty 12 50.000000 15.254237 0.000075
